Origin;  Country of asylum  ;  Start  ;  Repartation  ;  End  ;;;;;;;;;;;;;;;;;
Somalia;Eritrea;3.054;12;2.758;;;;;;;;;;;;;;;;;
Somalia;Ethiopia;240.825;-;245.097;;;;;;;;;;;;;;;;;
Somalia;Finland;2.744;-;2.817;;;;;;;;;;;;;;;;;
Somalia;France;1.674;-;1.896;;;;;;;;;;;;;;;;;
Somalia;Germany;3.512;-;4.205;;;;;;;;;;;;;;;;;
Somalia;Italy;10.846;-;12.213;;;;;;;;;;;;;;;;;
Somalia;Kenya;475.304;486;424.691;;;;;;;;;;;;;;;;;
Somalia;Malta;5.543;-;2.270;;;;;;;;;;;;;;;;;
Somalia;Netherlands;18.799;-;18.687;;;;;;;;;;;;;;;;;
Somalia;Norway;9.275;-;8.901;;;;;;;;;;;;;;;;;
Somalia;South Africa;20.818;-;40.133;;;;;;;;;;;;;;;;;
Somalia;Sweden;20.613;-;21.189;;;;;;;;;;;;;;;;;
Somalia;Switzerland;4.101;-;4.279;;;;;;;;;;;;;;;;;
Somalia;Turkey;2.153;*;2.389;;;;;;;;;;;;;;;;;
Somalia;Uganda;13.144;-;17.010;;;;;;;;;;;;;;;;;
Somalia;United Kingdom;11.249;-;8.509;;;;;;;;;;;;;;;;;
Somalia;United States;2.310;-;2.263;;;;;;;;;;;;;;;;;
Somalia;Yemen;230.506;1.987;244.204;;;;;;;;;;;;;;;;;
Somalia;Zambia;2.216;-;2.314;;;;;;;;;;;;;;;;;
South Sudan;Dem. Rep. of the Congo;-;-;1.790;;;;;;;;;;;;;;;;;
South Sudan;Ethiopia;71.506;-;251.791;;;;;;;;;;;;;;;;;
South Sudan;Kenya;19.930;-;89.226;;;;;;;;;;;;;;;;;
South Sudan;Sudan;-;-;115.451;;;;;;;;;;;;;;;;;
South Sudan;Uganda;22.510;-;157.053;;;;;;;;;;;;;;;;;
Sri Lanka;Australia;3.313;-;3.387;;;;;;;;;;;;;;;;;
Sri Lanka;Canada;12.326;-;10.745;;;;;;;;;;;;;;;;;
Sri Lanka;France;23.762;-;23.966;;;;;;;;;;;;;;;;;
Sri Lanka;Germany;4.077;-;4.046;;;;;;;;;;;;;;;;;
Sri Lanka;India;65.674;501;65.057;;;;;;;;;;;;;;;;;
Sri Lanka;Malaysia;1.811;*;1.587;;;;;;;;;;;;;;;;;
Sri Lanka;Switzerland;3.065;-;3.731;;;;;;;;;;;;;;;;;
Sri Lanka;United Kingdom;4.398;-;4.688;;;;;;;;;;;;;;;;;
Sri Lanka;United States;1.318;-;1.322;;;;;;;;;;;;;;;;;
Stateless;Australia;1.689;-;1.710;;;;;;;;;;;;;;;;;
Stateless;Canada;1.708;-;1.583;;;;;;;;;;;;;;;;;
Stateless;Denmark;515;-;1.065;;;;;;;;;;;;;;;;;
Stateless;Germany;920;-;1.559;;;;;;;;;;;;;;;;;
Stateless;Netherlands;755;-;2.079;;;;;;;;;;;;;;;;;
Stateless;Norway;2.356;-;2.655;;;;;;;;;;;;;;;;;
Stateless;Sweden;8.570;-;12.476;;;;;;;;;;;;;;;;;
Stateless;United Kingdom;847;-;1.072;;;;;;;;;;;;;;;;;
Sudan;Central African Rep.;2.172;*;1.880;;;;;;;;;;;;;;;;;
Sudan;Chad;352.948;13.105;357.711;;;;;;;;;;;;;;;;;
Sudan;Egypt;12.927;30;12.730;;;;;;;;;;;;;;;;;
Sudan;Ethiopia;33.582;-;35.447;;;;;;;;;;;;;;;;;
Sudan;France;2.430;-;2.746;;;;;;;;;;;;;;;;;
Sudan;Israel;12.542;-;6.588;;;;;;;;;;;;;;;;;
Sudan;Italy;2.574;-;2.530;;;;;;;;;;;;;;;;;
Sudan;Jordan;474;-;1.013;;;;;;;;;;;;;;;;;
